彩	146479
诸	146437
荣	146301
幽	144725
劳	144271
丈	143895
鲜	142884
训	142881
键	142672
狼	142146
沈	142122
油	141710
稍	141628
恩	141623
圈	141229
博	140935
庆	140798
奋	140767
碎	139946
固	139927
遍	139865
班	139569
碰	139381
颜	138927
济	138789
附	138697
舍	138446
殿	138304
赞	138207
肩	137906
宁	137871
鱼	137792
农	137286
尖	137115
登	136964
唯	136933
童	136924
轮	136661
厅	136506
缘	136396
炼	136092
著	135597
补	135304
纳	135074
典	135016
困	135001
凭	134980
庄	134864
毒	134833
娜	134791
蒙	134659
迹	134429
聚	134273
杯	134099
织	133793
厚	133529
折	131979
吓	131853
飘	131836
吹	131754
嫂	131545
宽	131528
曰	131357
挑	130885
享	129743
均	129622
丹	129331
凉	129219
丰	129122
访	129042
冒	128870
腰	128861
扑	128743
隔	128501
躲	128172
竹	128168
宋	128106
慧	128086
淑	128052
嘿	127833
昨	127831
插	127775
席	127756
降	127672
惯	127534
翠	127476
杰	126754
委	126273
徒	125456
陪	125361
积	125119
判	125009
拳	124943
舒	124895
映	124863
残	124772
莲	124145
剩	124041
律	123935
壁	123920
堆	123911
朵	123404
缩	123379
尼	123225
迟	122938
幻	122494
抵	122449
距	122205
触	122166
镜	121944
悄	121936
诚	121832
瞧	121830
庭	121363
私	121213
汗	121080
纯	121052
括	121014
镇	121014
炮	121012
抢	120796
递	120676
询	120555
惨	120496
闷	120395
课	120257
番	120187
鼻	120008
减	119918
猜	119624
玄	119482
扫	119217
针	119161
丢	119013
犹	118864
铺	118790
胖	118680
幕	118651
径	118236
遗	118067
赛	118054
末	117963
妻	117764
穷	117742
弃	117698
忠	117635
财	117555
浮	117002
忆	116862
哦	116412
胆	116406
彼	116384
奔	116347
疯	116202
扩	116103
孤	116058
皱	115930
稳	115905
累	115558
晨	115548
辛	115312
宜	115187
爆	114776
梁	113972
益	113870
乃	113688
傲	113644
凝	113533
犯	113432
炸	113347
吐	113190
净	112712
锋	112623
瞬	112580
荡	111998
咬	111842
箭	111555
监	111389
洛	111208
挺	110891
逐	110723
皆	110684
躺	110526
赏	110269
俗	110133
翼	110048
愤	110022
劝	109928
仇	109791
旅	109568
迫	109150
赤	108961
旗	108477
贝	108447
厂	108363
岛	108257
鸣	108181
塞	107948
昏	107867
塔	107805
臂	107752
逼	107696
授	107694
尘	107665
阻	107621
欣	107438
尸	107381
康	107090
舰	107052
椅	107011
伊	106836
鸟	106656
森	106603
氏	106330
娇	106304
寂	106156
粉	106076
汽	106058
鸡	106044
吉	105915
芒	105706
匆	105603
臣	105531
拼	105443
货	105416
鸿	105394
拟	105051
途	104758
慰	104729
晶	104719
蛋	104716
薄	104540
猫	104031
颗	104008
陷	103993
盛	103857
菲	103653
壮	103490
芬	103121
努	103043
奥	102743
票	102664
敏	102533
延	102520
仰	102515
吟	102116
恋	102017
颤	101753
县	101718
杜	101432
滚	101077
忧	100664
旋	100606
暂	100468
恢	100293
振	100189
粗	100087
零	100035
俩	99986
挡	99907
毁	99647
伴	99624
轰	99302
戴	99210
奈	98985
矩	98910
漫	98306
撞	97900
偶	97879
嘛	97815
颇	97788
惑	97692
慕	97596
伦	97353
擦	97285
厌	97230
伏	97225
枝	97156
慌	97109
废	97099
侧	96887
扎	96863
挤	96729
吾	96696
启	96644
泰	96546
纵	96381
寄	96262
尾	96181
谋	96070
逻	95991
岂	95936
摘	95923
辞	95748
暴	95323
祥	95227
洁	95163
唤	95117
摩	95108
愈	95086
孟	94814
损	94759
韩	94673
腾	94626
怨	94467
愁	94102
础	94037
洲	93797
串	93772
傻	93588
豪	93471
健	93413
苍	93381
雾	93311
哀	92893
袭	92736
抖	92704
磨	92659
睁	92533
匹	92455
频	92221
乌	91910
贴	91874
聊	91823
储	91786
旦	91530
肚	91408
逸	90902
御	90466
傅	90335
唇	90152
夹	90019
珍	89999
谷	89968
荒	89927
绕	89818
乘	89795
裂	89765
岸	89563
潮	89506
涌	89453
墨	89441
搬	89412
漂	89389
搜	89377
估	89331
艾	89321
帐	89213
耐	89139
幅	89054
爬	88496
夺	88171
尝	88127
掩	87639
诺	87567
貌	87426
陶	87354
尺	87259
羞	87151
郎	86902
桥	86793
佳	86582
姨	86540
戒	86518
扭	86501
冥	86496
搞	86296
盟	86045
拾	85839
挣	85816
鞋	85117
滑	85008
媒	84721
碗	84686
详	84683
扯	84573
稿	84494
枫	84374
川	84032
锁	83881
莉	83685
浓	83508
恰	83415
狱	83104
聪	82996
奴	82783
仔	82476
骗	82355
姊	82221
沿	81976
矣	81726
倍	81550
醉	81430
甫	81419
拖	81351
岳	81276
核	81237
殊	81208
扶	81012
烂	80594
赖	80500
彻	80376
浑	80353
膀	80213
冯	79987
邪	79956
遭	79847
痕	79831
屈	79748
仗	79461
跃	79393
凶	79262
巡	79224
瓶	79168
曹	79154
莱	79123
仲	79109
炎	79067
焰	79030
涂	78993
泥	78985
瞪	78798
弯	78622
嘻	78547
荷	78458
悟	78178
潜	78020
寿	77937
坡	77688
晃	77626
悉	77454
季	77336
绪	77203
蛇	77188
链	77158
埋	77109
垂	76942
冬	76852
恭	76822
疼	76787
郑	76765
吞	76763
亭	76694
乔	76595
瘦	76512
踪	76482
朗	76423
箱	76411
悠	76409
斜	76401
倾	76181
祝	76072
荪	76071
仪	76069
盗	76019
羊	75669
嫁	75652
讶	75650
踏	75598
池	75500
泛	75318
欺	75231
伍	75084
溜	75073
贼	74861
吼	74848
浅	74781
懒	74701
脆	74538
亏	74376
勉	74088
萨	73739
惠	73720
韵	73691
嗯	73605
敲	73546
虫	73515
玛	73216
悔	73151
庞	73100
坦	72997
恼	72980
浩	72936
拔	72886
阁	72808
凯	72630
辆	72555
丧	72379
妮	72358
碧	72195
搭	72067
冠	71894
筑	71659
愣	71643
泉	71468
融	71452
罩	71425
郁	71196
繁	71194
讯	71098
仆	71010
屏	70974
盾	70931
洪	70851
袍	70736
婉	70652
挨	70538
阔	70462
俊	70438
茫	70435
纹	70271
凑	70038
辉	69692
饰	69662
舅	69643
甜	69479
循	69404
址	69293
脉	69262
滴	69195
钻	69094
侵	68972
焦	68839
拦	68773
款	68669
暖	68616
惧	68476
遥	68377
丫	68332
播	68321
甘	68312
障	68233
璃	68184
额	68115
肃	67943
卿	67884
汇	67859
艳	67815
奉	67777
返	67749
拒	67704
辩	67642
隆	67411
惹	67353
邻	67316
销	67303
唉	67202
爽	67130
涉	67072
劫	67047
霞	67047
咒	66728
缠	66663
帽	66632
帅	66627
耀	66625
廷	66579
侍	66349
柱	66302
牧	66223
添	66078
捉	65904
脾	65872
牵	65816
铜	65682
袖	65581
牢	65522
驱	65508
堪	65504
忌	65395
爹	65333
倘	65260
盯	65232
截	65110
牲	65036
召	65012
迁	65007
饿	64925
央	64902
餐	64889
撒	64667
企	64650
笼	64564
促	64464
喷	64347
鹏	64319
矮	64154
霸	63828
割	63811
衡	63805
抹	63676
姚	63648
润	63437
扰	63432
辰	63276
赌	63266
丛	63183
扇	63136
庙	62750
郭	62718
豫	62708
缝	62623
瓦	62616
哲	62537
董	62371
晕	62311
港	62296
锐	62212
俄	62187
吵	62153
钧	62044
渡	61901
竞	61875
扔	61840
臭	61784
宿	61617
耗	61558
崇	61526
桃	61330
寸	61326
邦	61143
琳	61024
吕	60957
赐	60867
粮	60852
舌	60789
姿	60637
抚	60594
愧	60492
勒	60422
脖	60356
迪	60337
幼	60302
染	60220
啸	60051
吻	59986
予	59951
慈	59572
玻	59547
佣	59471
嚷	59079
培	59048
稀	59033
桂	58984
玲	58973
允	58915
趁	58790
糟	58765
督	58728
猪	58705
乙	58646
耶	58413
籍	58357
悦	58159
津	58097
痴	58033
侯	58033
覆	57950
屁	57881
媚	57871
跪	57850
井	57818
熊	57793
抛	57722
催	57676
奸	57601
扮	57550
贤	57399
嫌	57394
衫	57331
乏	57301
斩	57191
咐	57014
瓜	56998
援	56932
哎	56875
酸	56874
夸	56812
肥	56731
蒂	56729
燃	56648
嘉	56624
怖	56555
牺	56454
欠	56432
裁	56289
爵	56279
鹰	56223
掏	56139
捕	56092
钢	55977
柜	55913
丑	55863
卧	55766
汤	55747
湿	55587
悬	55522
疲	55474
厨	55413
辱	55176
贫	54769
捧	54753
刹	54723
渊	54680
窝	54653
桑	54637
乖	54537
撑	54402
脏	54387
蛮	54351
惟	54284
慎	54283
卜	54264
袁	53895
孝	53825
躯	53806
屠	53648
捏	53589
疾	53579
申	53524
泽	53420
航	53334
晴	53293
漠	53260
勤	53174
狐	53148
堡	52762
祭	52752
坛	52744
剪	52621
宏	52616
扣	52590
租	52582
裤	52531
翁	52349
赫	52262
框	52251
喘	51843
兼	51783
撤	51739
遮	51715
奖	51697
诱	51367
喃	51335
娃	51289
咳	51278
妥	51087
昌	51043
昂	50998
豆	50964
巫	50933
览	50932
矛	50739
歇	50444
勾	50388
档	50315
桢	50246
碍	50139
贺	50138
洒	50020
铃	50020
弓	49882
泼	49600
凄	49504
祸	49439
逢	49341
耻	49313
昭	49290
罚	49287
宙	49245
卑	49238
逆	49159
盆	49133
呜	49035
喂	48886
饮	48882
驾	48843
陛	48828
咽	48744
寺	48672
骤	48608
阅	48522
妨	48451
绘	48406
蜜	48321
翔	48256
签	48201
审	48066
齿	47981
盼	47979
霜	47969
廊	47893
刷	47876
岩	47871
汪	47852
综	47646
梯	47642
媳	47122
猎	47025
疏	46946
雕	46946
娶	46945
侠	46914
炉	46862
饱	46849
戚	46778
挖	46742
泄	46702
赢	46689
魏	46682
轩	46595
叛	46416
莎	46293
叠	46292
薇	46234
贞	46217
弥	46078
拨	46065
歪	46004
鼠	45979
踢	45956
讽	45902
账	45854
焉	45701
陵	45634
