pin d  ch rank
dan    丹 1463
dan    簞 2930
dan    襌 4378
dan    鄲 4572
dan    殫 4774
dan 2  蛋 0862
dan 3  旦 1737
dan 3  誕 2504
dan 3  鉭 6255
dan 6  但 0152
dan 6  彈 0772
dan 6  憚 4298
dan 6  撣 4713
dap 3  答 0867
dap 3  搭 1839
dap 3  瘩 3680
dap 3  褡 5814
dap 3  嚃 6605
dap 6  踏 1605
dap 6  沓 4592
dap 6  蹋 4739
dad 3  撻 4056
dad 3  靼 4691
dad 3  怛 5308
dad 3  笪 5966
dad 3  妲 6095
dad 3  躂 6968
dad 6  達 0328
dad 6  噠 2875
dai    低 0383
dai    氐 4988
dai    羝 5976
dai    胝 7131
dai 2  底 0498
dai 2  抵 1248
dai 2  詆 3685
dai 2  邸 4570
dai 2  砥 4785
dai 2  柢 5432
dai 2  牴 5612
dai 3  帝 0667
dai 3  締 2159
dai 3  蒂 2467
dai 3  碲 3605
dai 3  諦 4251
dai 3  嵽 6339
dai 3  螮 6925
dai 6  第 0155
dai 6  弟 1153
dai 6  隸 1371
dai 6  遞 1557
dai 6  逮 1858
dai 6  娣 3501
dai 6  踶 3595
dai 6  棣 4211
dai 6  埭 5300
dai 6  悌 5734
dai 6  杕 6127
dac    得 0062
dac    德 0502
dac 6  特 0206
dac 6  螣 4939
dum    揼 7145
den    墩 3124
den    礅 6813
den 2  躉 5375
den 3  撉 6359
den 6  炖 3724
den 6  燉 7147
dag    燈 0959
dag    登 1293
dag    蹬 2785
dag    簦 3970
dag    鐙 5689
dag 2  等 0068
dag 2  戥 2761
dag 3  凳 3017
dag 3  磴 4491
dag 3  嶝 4706
dag 3  嶗 6101
dag 6  鄧 1581
dag 6  瞪 2608
dup    嗒 3802
dup    耷 4733
dat    腯 6465
dat 6  突 0698
dat 6  凸 1871
dat 6  葖 6894
dau    兜 2850
dau 2  抖 2174
dau 2  陡 2499
dau 2  赳 3241
dau 2  蚪 6214
dau 2  枓 6702
dau 2  斗 7132
dau 3  鬥 0335
dau 6  豆 1132
dau 6  逗 2966
dau 6  竇 3834
dau 6  荳 4793
dau 6  痘 5069
dau 6  脰 5480
