jyut  ,rank,ch
cuk1  ,3073,簇
cuk1  ,3912,矗
cuk1  ,4302,滀
cuk1  ,4568,蹙
cuk1  ,4658,搐
cuk1  ,4674,簌
cuk1  ,5374,蹴
cuk1  ,5396,俶
cuk1  ,6224,觫
cuk1  ,6391,涑
cuk1  ,6504,諔
cuk1  ,6581,齪
cuk1  ,6582,亍
cuk1  ,6965,踧
cung1 ,0588,充
cung1 ,0952,沖
cung1 ,1140,衝
cung1 ,2011,蔥
cung1 ,2432,聰
cung1 ,2530,匆
cung1 ,3760,忡
cung1 ,4052,憧
cung1 ,6166,璁
cung1 ,6265,鏦
cung1 ,7124,翀
cung1 ,7126,蓯
cung2 ,2840,寵
cung2 ,4824,冢
cung2 ,7123,塚
cung3 ,5275,銃
cung4 ,0097,從
cung4 ,0100,重
cung4 ,1075,蟲
cung4 ,1126,松
cung4 ,1981,叢
cung4 ,3005,虫
cung4 ,4090,淙
cung4 ,6165,琮
cung4 ,6482,藂
cung4 ,6958,賨
cx1   ,7130,Ｃ
cyu1  ,3837,躇
cyu1  ,4666,滁
cyu1  ,5100,躕
cyu2  ,4314,褚
cyu2  ,5231,楮
cyu3  ,0257,處
cyu4  ,2434,廚
cyu4  ,3552,櫥
cyu5  ,1190,柱
cyu5  ,1402,貯
cyu5  ,1548,儲
cyu5  ,1659,署
cyu5  ,3523,曙
cyu5  ,3735,佇
cyu5  ,4556,杵
cyu5  ,5476,紵
cyu5  ,5583,杼
cyun1 ,0738,村
cyun1 ,0866,穿
cyun1 ,0982,川
cyun1 ,3373,汆
cyun1 ,3415,氚
cyun1 ,5830,躥
cyun1 ,6252,釧
cyun1 ,7121,邨
cyun2 ,2621,喘
cyun2 ,4517,忖
cyun2 ,6203,舛
cyun2 ,6608,圌
cyun3 ,1261,寸
cyun3 ,1691,串
cyun3 ,2927,竄
cyun3 ,3902,惴
cyun3 ,4700,吋
cyun3 ,5139,攛
cyun3 ,6156,爨
cyun4 ,0128,全
cyun4 ,0344,傳
cyun4 ,0448,存
cyun4 ,1670,泉
cyun4 ,2092,醛
cyun4 ,2287,蹲
cyun4 ,3785,攢
cyun4 ,3793,荃
cyun4 ,4384,銓
cyun4 ,4525,痊
cyun4 ,4985,椽
cyun4 ,4999,筌
cyun4 ,5818,詮
cyun4 ,6719,欑
cyun4 ,7114,佺
cyun4 ,7115,恮
cyun4 ,7117,牷
cyun4 ,7120,輇
cyun5 ,4578,鱒
cyut3 ,2999,撮
cyut3 ,4137,咄
cyut3 ,4599,猝
cyut3 ,5577,捽
daa2  ,0310,打
daa2  ,6075,咑
daai2 ,3202,歹
daai3 ,0315,帶
daai3 ,1468,戴
daai6 ,0012,大
daai6 ,4776,汏
daai6 ,5515,軑
daam1 ,0861,擔
daam1 ,2892,耽
daam1 ,3943,眈
daam1 ,5544,儋
daam1 ,5979,聃
daam2 ,1602,膽
daam6 ,1499,氮
daam6 ,5284,髧
daam6 ,5489,萏
daam6 ,6741,澹
daam6 ,6959,賧
daan1 ,0307,單
daan1 ,1463,丹
daan1 ,2930,簞
daan1 ,4378,襌
daan1 ,4572,鄲
daan1 ,4774,殫
daan2 ,0862,蛋
daan3 ,1737,旦
daan3 ,2504,誕
