ch,rank,yyutping
咳,2704,kat,1
欬,6720,kat,1
溝,1392,kau,1
摳,4449,kau,1
構,0431,kau,3
購,1143,kau,3
扣,1747,kau,3
寇,2727,kau,3
筘,3374,kau,3
叩,3410,kau,3
佝,5032,kau,3
蔻,5492,kau,3
釦,7290,kau,3
求,0208,kau,4
球,0530,kau,4
巰,3320,kau,4
裘,3330,kau,4
璆,4362,kau,4
俅,4758,kau,4
訄,4874,kau,4
犰,5771,kau,4
虯,6213,kau,4
賕,6235,kau,4
艽,6878,kau,4
梂,7288,kau,4
逑,7289,kau,4
舅,2541,kau,5
臼,4535,kau,5
騎,1980,ke,4
茄,2864,ke,4
瘸,5628,ke,4
畸,3070,kei,1
崎,3262,kei,1
攲,6119,kei,1
冀,2680,kei,3
驥,3733,kei,3
暨,4171,kei,3
其,0112,kei,4
期,0232,kei,4
奇,0958,kei,4
旗,1114,kei,4
棋,1675,kei,4
歧,2417,kei,4
祁,2436,kei,4
岐,2796,kei,4
祺,2819,kei,4
琪,2870,kei,4
琦,3009,kei,4
祈,3555,kei,4
俟,3612,kei,4
鰭,3666,kei,4
耆,3682,kei,4
淇,3832,kei,4
鯕,4228,kei,4
頎,4345,kei,4
綦,4732,kei,4
亓,4756,kei,4
蘄,4796,kei,4
圻,4829,kei,4
碁,4996,kei,4
麒,5028,kei,4
騏,5698,kei,4
埼,5718,kei,4
旂,6690,kei,4
蜞,6919,kei,4
萁,7189,kei,4
企,0522,kei,5
劇,0964,kek,6
屐,4351,kek,6
區,0240,keoi,1
驅,1664,keoi,1
拘,2107,keoi,1
俱,2307,keoi,1
軀,2832,keoi,1
嶇,3637,keoi,1
駒,4387,keoi,1
祛,4786,keoi,1
佉,5537,keoi,1
胠,6463,keoi,1
渠,1804,keoi,4
衢,4191,keoi,4
鴝,4895,keoi,4
籧,5967,keoi,4
朐,6126,keoi,4
氍,6139,keoi,4
璩,6168,keoi,4
劬,6301,keoi,4
磲,6812,keoi,4
蕖,6901,keoi,4
距,0742,keoi,5
拒,1704,keoi,5
佢,7300,keoi,5
鉗,2439,kim,4
黔,3109,kim,4
鈐,4502,kim,4
拑,7296,kim,4
箝,7297,kim,4
虔,3972,kin,4
掮,5426,kin,4
傾,1133,king,1
頃,2405,king,2
廎,5888,king,2
瓊,2458,king,4
鯨,3340,king,4
擎,4002,king,4
黥,4101,king,4
勍,5546,king,4
煢,5935,king,4
墘,6320,king,4
琼,7294,king,4
揭,1167,kit,3
竭,2155,kit,3
鍥,3688,kit,3
碣,4728,kit,3
孑,4832,kit,3
挈,4839,kit,3
纈,5644,kit,3
訐,5667,kit,3
羯,5792,kit,3
楬,6129,kit,3
橋,1170,kiu,4
僑,1719,kiu,4
喬,1978,kiu,4
翹,2929,kiu,4
蕎,4312,kiu,4
礄,5247,kiu,4
卻,0470,koek,3
強,0241,koeng,4
弶,6344,koeng,5
襁,6494,koeng,5
鏹,7293,koeng,5
膙,6869,koeng,6
概,0884,koi,3
鈣,1780,koi,3
溉,2170,koi,3
慨,2233,koi,3
丐,4202,koi,3
愾,5310,koi,3
確,0342,kok,3
壑,3423,kok,3
榷,3983,kok,3
涸,4038,kok,3
恪,4909,kok,3
愨,6668,kok,3
确,7299,kok,3
抗,0646,kong,3
擴,0783,kong,3
亢,4029,kong,3
鈧,5840,kong,3
伉,5863,kong,3
夼,5876,kong,3
閌,6999,kong,3
狂,1631,kong,4
箍,3301,ku,1
繪,1693,kui,2
潰,2419,kui,2
賄,2707,kui,2
檜,3866,kui,2
劊,3899,kui,2
澮,4117,kui,2
膾,4678,kui,2
薈,5257,kui,2
儈,5543,kui,2
憒,5892,kui,2
繢,5972,kui,2
獪,6162,kui,2
聵,6199,kui,2
鄶,6979,kui,2
鱠,7047,kui,2
曲,0608,kuk,1
蛐,5174,kuk,1
窮,1390,kung,4
邛,4381,kung,4
穹,4862,kung,4
蛩,6483,kung,4
銎,6988,kung,4
括,0755,kut,3
豁,3205,kut,3
聒,5980,kut,3
栝,6709,kut,3
跨,1431,kwaa,1
誇,2448,kwaa,1
垮,2581,kwaa,1
夸,3804,kwaa,1
姱,6326,kwaa,1
侉,3752,kwaa,2
胯,4614,kwaa,3
嘳,7213,kwaai,3
框,1792,kwaang,1
規,0269,kwai,1
虧,1786,kwai,1
窺,3119,kwai,1
盔,4008,kwai,1
睽,4995,kwai,1
巋,6342,kwai,1
跬,6511,kwai,2
愧,2639,kwai,3
攜,2369,kwai,4
葵,3430,kwai,4
夔,3780,kwai,4
畦,3941,kwai,4
揆,4710,kwai,4
馗,5189,kwai,4
逵,5377,kwai,4
騤,5527,kwai,4
暌,5581,kwai,4
蠵,6220,kwai,4
觿,6499,kwai,4
昆,1914,kwan,1
坤,3103,kwan,1
髡,3542,kwan,1
崑,4262,kwan,1
菌,1016,kwan,2
捆,2697,kwan,2
綑,5477,kwan,2
悃,6349,kwan,2
捃,6355,kwan,2
閫,6543,kwan,2
梱,7306,kwan,2
困,0877,kwan,3
窘,3726,kwan,3
睏,5332,kwan,3
群,0363,kwan,4
裙,2847,kwan,4
宭,6632,kwan,4
羣,7308,kwan,4
礦,0402,kwong,3
曠,2860,kwong,3
鄺,4382,kwong,3
壙,5723,kwong,3
權,0296,kyun,4
拳,2148,kyun,4
蜷,4376,kyun,4
顴,5105,kyun,4
鬈,5109,kyun,4
惓,5890,kyun,4
決,0243,kyut,3
缺,0795,kyut,3
訣,3405,kyut,3
厥,3573,kyut,3
獗,3625,kyut,3
闕,3665,kyut,3
撅,4588,kyut,3
闋,4809,kyut,3
噘,4828,kyut,3
抉,4838,kyut,3
玦,5066,kyut,3
蕨,5991,kyut,3
譎,6007,kyut,3
鴃,6572,kyut,3
觼,7295,kyut,3
孓,7302,kyut,3
Ｌ,7348,Ｌ
啦,1238,laa,1
喇,2587,laa,1
鞡,7011,laa,1
罅,6848,laa,3
拉,0372,laai,1
癩,4336,laai,3
賴,1825,laai,6
酹,5019,laai,6
籟,5077,laai,6
瀨,5609,laai,6
嘞,7313,laak,3
攬,2800,laam,2
藍,1348,laam,4
籃,2443,laam,4
嵐,3475,laam,4
婪,3720,laam,4
襤,4682,laam,4
覽,1958,laam,5
欖,7314,laam,5
艦,1588,laam,6
纜,1990,laam,6
濫,2327,laam,6
躝,7315,laan,1
讕,5505,laan,2
蘭,0859,laan,4
欄,1398,laan,4
攔,2184,laan,4
瀾,2939,laan,4
闌,4074,laan,4
鑭,5276,laan,4
斕,5428,laan,4
襴,6942,laan,4
懶,2841,laan,5
爛,1583,laan,6
冷,0704,laang,5
蠟,1651,laap,6
臘,2004,laap,6
蜡,3120,laap,6
垃,3740,laap,6
鑞,4808,laap,6
邋,6246,laap,6
鱲,7316,laap,6
瘌,5627,laat,3
辣,2149,laat,6
剌,4393,laat,6
鬎,6276,laat,6
黎,1294,lai,4
犁,2117,lai,4
藜,4680,lai,4
蔾,5172,lai,4
黧,7066,lai,4
嚟,7311,lai,4
禮,1403,lai,5
澧,3033,lai,5
蠡,3991,lai,5
醴,4285,lai,5
鱧,4814,lai,5
劙,6591,lai,5
例,0320,lai,6
麗,1429,lai,6
勵,1444,lai,6
厲,1829,lai,6
荔,3075,lai,6
礪,4369,lai,6
儷,4961,lai,6
蠣,5014,lai,6
糲,5475,lai,6
癘,5954,lai,6
捩,6679,lai,6
勒,1271,lak,6
肋,3150,lak,6
鰳,6571,lak,6
仂,6584,lak,6
諗,7344,lam,2
冧,7343,lam,3
林,0373,lam,4
臨,0953,lam,4
淋,2102,lam,4
琳,2915,lam,4
霖,3002,lam,4
痳,5626,lam,4
凜,3572,lam,5
檁,5142,lam,5
廩,5218,lam,5
懍,5572,lam,5
壈,6616,lam,5
粒,0837,lap,1
凹,2367,lap,1
笠,4122,lap,1
立,0177,lap,6
甩,2629,lat,1
溜,2061,lau,1
摟,3521,lau,1
嘍,4049,lau,1
流,0214,lau,4
留,0656,lau,4
劉,0799,lau,4
硫,0815,lau,4
樓,1107,lau,4
餾,1731,lau,4
瘤,2599,lau,4
榴,2866,lau,4
飀,3208,lau,4
琉,3626,lau,4
瀏,3967,lau,4
婁,4261,lau,4
僂,4636,lau,4
耬,5169,lau,4
螻,5261,lau,4
遛,5270,lau,4
髏,5529,lau,4
蹓,5674,lau,4
鎦,5686,lau,4
旒,5900,lau,4
蔞,6211,lau,4
鎏,6262,lau,4
漊,6738,lau,4
鏐,6997,lau,4
騮,7318,lau,4
柳,1597,lau,5
縷,2947,lau,5
簍,3889,lau,5
褸,4872,lau,5
綹,4933,lau,5
漏,1677,lau,6
陋,3121,lau,6
鏤,4950,lau,6
瘺,6173,lau,6
霤,7317,lau,6
咧,3211,le,1
哩,1817,lei,1
喱,4761,lei,1
鬁,7036,lei,1
離,0339,lei,4
璃,1252,lei,4
厘,1279,lei,4
梨,2671,lei,4
漓,3251,lei,4
籬,3745,lei,4
狸,4178,lei,4
梩,4984,lei,4
篱,5076,lei,4
驪,5282,lei,4
鱺,5532,lei,4
嫠,5561,lei,4
獼,6420,lei,4
罹,6852,lei,4
蜊,6916,lei,4
鸝,7064,lei,4
貍,7324,lei,4
釐,7325,lei,4
理,0081,lei,5
裏,0129,lei,5
李,0535,lei,5
履,2163,lei,5
鯉,2703,lei,5
鋰,3285,lei,5
浬,3566,lei,5
俚,4818,lei,5
娌,4975,lei,5
邐,6518,lei,5
利,0149,lei,6
吏,1736,lei,6
莉,3010,lei,6
痢,3427,lei,6
俐,4291,lei,6
蒞,5086,lei,6
猁,5939,lei,6
詈,6225,lei,6
脷,7323,lei,6
叻,5548,lek,1
壢,7329,lek,6
靚,5386,leng,3
鯪,4388,leng,4
嶺,1688,leng,5
櫚,4406,leoi,3
雷,0930,leoi,4
蕾,3076,leoi,4
驢,3175,leoi,4
鐳,3750,leoi,4
擂,4037,leoi,4
纍,4186,leoi,4
閭,4544,leoi,4
羸,5793,leoi,4
儽,5867,leoi,4
嫘,6330,leoi,4
縲,6454,leoi,4
罍,6849,leoi,4
裡,0628,leoi,5
里,0640,leoi,5
旅,1287,leoi,5
鋁,1426,leoi,5
呂,2308,leoi,5
屢,2634,leoi,5
壘,2658,leoi,5
儡,3229,leoi,5
侶,3385,leoi,5
磊,3944,leoi,5
膂,4677,leoi,5
漯,5237,leoi,5
礧,5784,leoi,5
穭,5963,leoi,5
類,0337,leoi,6
慮,1044,leoi,6
累,1127,leoi,6
淚,1343,leoi,6
濾,1404,leoi,6
戾,5136,leoi,6
耒,5479,leoi,6
唳,6308,leoi,6
誄,6948,leoi,6
卵,1658,leon,2
輪,0540,leon,4
磷,1332,leon,4
倫,1526,leon,4
鄰,1570,leon,4
麟,2193,leon,4
侖,2469,leon,4
鱗,2708,leon,4
淪,2914,leon,4
掄,4140,leon,4
粼,4184,leon,4
嶙,4835,leon,4
璘,4926,leon,4
遴,5271,leon,4
瞵,5630,leon,4
崙,5882,leon,4
膦,6202,leon,4
轔,6242,leon,4
圇,6607,leon,4
燐,7345,leon,4
鏻,7346,leon,4
論,0234,leon,6
紊,3327,leon,6
吝,4509,leon,6
藺,4565,leon,6
躪,4569,leon,6
律,0374,leot,6
率,0397,leot,6
栗,3345,leot,6
溧,4333,leot,6
慄,5053,leot,6
篥,6184,leot,6
遹,6245,leot,6
葎,6476,leot,6
瀝,2472,lik,1
礫,3568,lik,1
轢,4343,lik,1
靂,4385,lik,1
櫟,4557,lik,1
櫪,5918,lik,1
瓅,6169,lik,1
躒,6240,lik,1
力,0073,lik,6
歷,0436,lik,6
曆,2347,lik,6
嚦,2488,lik,6
酈,4099,lik,6
藶,6910,lik,6
廉,2176,lim,4
帘,3086,lim,4
簾,3149,lim,4
鎌,3798,lim,4
鐮,3799,lim,4
濂,3985,lim,4
奩,6323,lim,4
臉,0872,lim,5
襜,6938,lim,5
歛,7330,lim,5
斂,3220,lim,6
殮,5441,lim,6
瀲,5766,lim,6
襝,6495,lim,6
鏈,1433,lin,2
連,0395,lin,4
蓮,2043,lin,4
憐,2484,lin,4
鰱,2904,lin,4
漣,4360,lin,4
槤,5233,lin,4
褳,6493,lin,4
攆,3903,lin,5
輦,5516,lin,5
練,0597,lin,6
煉,1236,lin,6
鍊,3538,lin,6
楝,5435,lin,6
拎,4553,ling,1
擰,2834,ling,2
零,0986,ling,4
靈,1002,ling,4
齡,1525,ling,4
陵,1641,ling,4
棱,1821,ling,4
鈴,1935,ling,4
凌,2246,ling,4
玲,2292,ling,4
菱,2374,ling,4
楞,3159,ling,4
檸,3266,ling,4
苓,3281,ling,4
稜,3390,ling,4
綾,3645,ling,4
淩,3676,ling,4
伶,3927,ling,4
翎,4187,ling,4
聆,4279,ling,4
泠,4301,ling,4
羚,4865,ling,4
笭,5164,ling,4
柃,5315,ling,4
舲,5354,ling,4
囹,5555,ling,4
欞,5596,ling,4
蛉,5659,ling,4
酃,5836,ling,4
崚,6099,ling,4
醽,6251,ling,4
呤,6304,ling,4
瓴,6782,ling,4
鴒,7048,ling,4
０,7328,ling,4
領,0271,ling,5
另,0555,ling,6
令,0673,ling,6
愣,3030,ling,6
獵,2507,lip,6
鬣,4694,lip,6
躐,6013,lip,6
列,0412,lit,6
烈,0745,lit,6
裂,0935,lit,6
冽,4392,lit,6
趔,5825,lit,6
洌,6140,lit,6
撂,4055,liu,1
料,0190,liu,2
潦,4595,liu,2
療,1561,liu,4
僚,1706,liu,4
遼,1733,liu,4
寥,2749,liu,4
聊,2775,liu,4
撩,3601,liu,4
繚,3792,liu,4
燎,3910,liu,4
嘹,3997,liu,4
鐐,4026,liu,4
寮,5047,liu,4
獠,6161,liu,4
鷯,6577,liu,4
瞭,6807,liu,4
了,0006,liu,5
蓼,5010,liu,5
釕,6528,liu,5
廖,3354,liu,6
尥,6634,liu,6
囉,5715,lo,1
旯,6691,lo,1
囖,7320,lo,1
裸,2537,lo,2
摞,5897,lo,2
瘰,5952,lo,2
蠃,6928,lo,2
攞,7321,lo,2
羅,0716,lo,4
螺,1491,lo,4
邏,2068,lo,4
鑼,3050,lo,4
騾,3092,lo,4
籮,3326,lo,4
玀,5243,lo,4
腡,6868,lo,4
儸,7319,lo,4
蘿,7322,lo,4
略,0598,loek,6
掠,2134,loek,6
良,0685,loeng,4
糧,0811,loeng,4
梁,1243,loeng,4
涼,1723,loeng,4
樑,1964,loeng,4
粱,2558,loeng,4
踉,3795,loeng,4
莨,5653,loeng,4
椋,6712,loeng,4
輬,6971,loeng,4
兩,0090,loeng,5
倆,1988,loeng,5
裲,5371,loeng,5
魎,6280,loeng,5
量,0089,loeng,6
亮,0919,loeng,6
輛,1542,loeng,6
諒,2659,loeng,6
悢,3125,loeng,6
來,0023,loi,4
萊,2054,loi,4
淶,4520,loi,4
徠,5135,loi,4
崍,5214,loi,4
錸,5841,loi,4
棶,6711,loi,4
賚,5823,loi,6
睞,5955,loi,6
絡,1857,lok,3
駱,2849,lok,3
烙,3081,lok,3
酪,3816,lok,3
犖,5155,lok,3
雒,5691,lok,3
珞,5773,lok,3
落,0536,lok,6
樂,0636,lok,6
洛,1609,lok,6
啷,4966,long,1
郎,1916,long,4
狼,2216,long,4
廊,2492,long,4
瑯,3278,long,4
榔,4174,long,4
螂,5012,long,4
鋃,6031,long,4
硠,6179,long,4
桹,6710,long,4
鎯,6993,long,4
琅,7333,long,4
稂,7334,long,4
朗,1230,long,5
閬,5522,long,5
塱,7331,long,5
烺,7332,long,5
浪,1314,long,6
晾,3113,long,6
蒗,7335,long,6
撈,2012,lou,1
嚕,3803,lou,1
佬,3995,lou,2
勞,0421,lou,4
爐,0983,lou,4
牢,1683,lou,4
盧,1982,lou,4
蘆,2255,lou,4
廬,2828,lou,4
顱,3877,lou,4
嘮,3901,lou,4
瀘,4177,lou,4
醪,4226,lou,4
轤,4469,lou,4
鸕,4754,lou,4
癆,4783,lou,4
鱸,5026,lou,4
壚,5211,lou,4
臚,5483,lou,4
鐒,5844,lou,4
櫨,5919,lou,4
纑,6458,lou,4
艫,6876,lou,4
蟧,7337,lou,4
鑪,7338,lou,4
老,0209,lou,5
魯,0846,lou,5
鹵,2535,lou,5
虜,2811,lou,5
擄,4036,lou,5
姥,4083,lou,5
櫓,4300,lou,5
銠,6257,lou,5
栳,6708,lou,5
氌,6727,lou,5
滷,7339,lou,5
路,0215,lou,6
露,0914,lou,6
澇,2802,lou,6
賂,3582,lou,6
潞,4779,lou,6
鷺,5027,lou,6
璐,5458,lou,6
嫪,6096,lou,6
輅,6515,lou,6
碌,3061,luk,1
麓,3128,luk,1
轆,3632,luk,1
簏,6830,luk,1
六,0294,luk,6
綠,0924,luk,6
陸,0954,luk,6
錄,1015,luk,6
氯,1068,luk,6
祿,2079,luk,6
鹿,2653,luk,6
戮,3479,luk,6
漉,3964,luk,6
甪,5778,luk,6
淥,5928,luk,6
琭,5942,luk,6
菉,5986,luk,6
逯,6243,luk,6
籙,6448,luk,6
騄,6561,luk,6
醁,6983,luk,6
穋,7342,luk,6
窿,3570,lung,1
龍,0819,lung,4
隆,1492,lung,4
籠,1842,lung,4
聾,3217,lung,4
嚨,3438,lung,4
朧,3440,lung,4
曨,3934,lung,4
瓏,4603,lung,4
礱,5338,lung,4
蘢,5364,lung,4
矓,5782,lung,4
癃,5953,lung,4
瀧,6405,lung,4
壟,1882,lung,5
攏,2536,lung,5
隴,3818,lung,5
儱,6587,lung,5
攣,4242,lyun,1
戀,2098,lyun,2
聯,0292,lyun,4
灤,3400,lyun,4
巒,3931,lyun,4
鑾,4749,lyun,4
鸞,4755,lyun,4
孿,5044,lyun,4
欒,5753,lyun,4
圞,6609,lyun,4
孌,7340,lyun,5
臠,7341,lyun,5
亂,0838,lyun,6
劣,1971,lyut,3
捋,4113,lyut,3
埒,5875,lyut,3
Ｍ,7367,Ｍ
呣,6076,m,2
唔,3129,m,4
媽,0780,maa,1
嗎,0797,maa,1
螞,3533,maa,1
嬤,3599,maa,1
嚜,6313,maa,1
孖,6631,maa,1
嘛,1819,maa,3
麻,1216,maa,4
蟆,3990,maa,4
痲,7349,maa,4
馬,0348,maa,5
碼,1469,maa,5
瑪,2579,maa,5
罵,1744,maa,6
禡,6182,maa,6
埋,1716,maai,4
霾,5023,maai,4
買,0881,maai,5
賣,1079,maai,6
邁,1892,maai,6
勱,6072,maai,6
擘,5224,maak,3
蠻,2340,maan,4
蔓,2964,maan,4
饅,3541,maan,4
鰻,3801,maan,4
謾,4799,maan,4
熳,6154,maan,4
鬘,6566,maan,4
晚,0835,maan,5
娩,4974,maan,5
萬,0324,maan,6
慢,0885,maan,6
曼,1776,maan,6
漫,1778,maan,6
幔,4166,maan,6
嫚,4976,maan,6
墁,5301,maan,6
縵,5348,maan,6
澫,6401,maan,6
盲,2207,maang,4
氓,2527,maang,4
猛,1541,maang,5
錳,2523,maang,5
蜢,5999,maang,5
艋,6204,maang,5
孟,1802,maang,6
貓,2548,maau,1
矛,0840,maau,4
茅,2156,maau,4
錨,2636,maau,4
髳,5856,maau,4
蝥,6485,maau,4
蟊,6487,maau,4
牡,3181,maau,5
卯,3928,maau,5
鉚,4286,maau,5
泖,5923,maau,5
茆,6467,maau,5
貌,1645,maau,6
迷,1601,mai,4
醚,3269,mai,4
謎,3283,mai,4
蛑,6915,mai,4
米,0351,mai,5
弭,4836,mai,5
敉,6688,mai,5
袂,5661,mai,6
嘜,4397,mak,1
麥,1054,mak,6
脈,1251,mak,6
墨,1419,mak,6
默,1432,mak,6
陌,2931,mak,6
驀,3974,mak,6
纆,5973,mak,6
貊,6233,mak,6
貘,6956,mak,6
霢,7008,mak,6
蚊,3173,man,1
燜,4272,man,1
炆,5325,man,1
民,0061,man,4
文,0197,man,4
聞,1166,man,4
紋,1406,man,4
雯,2733,man,4
汶,3788,man,4
旻,4403,man,4
忞,4707,man,4
岷,4833,man,4
笢,5634,man,4
閿,6268,man,4
玟,7351,man,4
敏,1621,man,5
閩,2314,man,5
吻,2669,man,5
閔,3218,man,5
憫,4139,man,5
抿,4241,man,5
泯,4846,man,5
刎,5545,man,5
鰶,5704,man,5
澠,6400,man,5
愍,6667,man,5
湣,6732,man,5
黽,7068,man,5
抆,7350,man,5
問,0166,man,6
盟,0940,mang,4
萌,2126,mang,4
甍,6783,mang,4
乜,6292,mat,1
物,0085,mat,6
密,0524,mat,6
勿,2094,mat,6
蜜,2478,mat,6
襪,3011,mat,6
嘧,4763,mat,6
謐,4940,mat,6
哞,6079,mau,1
踎,7352,mau,1
謀,1110,mau,4
牟,3589,mau,4
眸,4368,mau,4
繆,4370,mau,4
某,0596,mau,5
畝,1308,mau,5
貿,1234,mau,6
謬,2259,mau,6
茂,2320,mau,6
懋,3784,mau,6
袤,5263,mau,6
羋,5975,me,1
咩,6077,me,1
眯,3138,mei,1
瞇,4858,mei,1
屘,7353,mei,1
微,0681,mei,4
眉,1711,mei,4
彌,2228,mei,4
楣,3107,mei,4
薇,3446,mei,4
糜,3592,mei,4
湄,4332,mei,4
溦,5147,mei,4
嵋,5417,mei,4
縻,5791,mei,4
蘼,5810,mei,4
郿,6024,mei,4
麋,6050,mei,4
瀰,6746,mei,4
黴,7356,mei,4
美,0303,mei,5
尾,1288,mei,5
鎂,2333,mei,5
娓,2633,mei,5
靡,3654,mei,5
亹,6583,mei,5
濔,6744,mei,5
渼,7354,mei,5
未,0654,mei,6
味,0768,mei,6
媚,3019,mei,6
魅,3271,mei,6
寐,4296,mei,6
沬,6730,mei,6
咪,3667,mi,1
冪,2883,mik,6
覓,3431,mik,6
棉,0905,min,4
眠,2270,min,4
綿,2294,min,4
免,0876,min,5
勉,2471,min,5
緬,2494,min,5
冕,3691,min,5
靦,4432,min,5
眄,5245,min,5
湎,5606,min,5
沔,5757,min,5
愐,6666,min,5
鮸,7041,min,5
面,0054,min,6
麵,1753,min,6
明,0144,ming,4
名,0341,ming,4
鳴,1687,ming,4
銘,2593,ming,4
瞑,4489,ming,4
螟,4871,ming,4
蓂,4938,ming,4
溟,5449,ming,4
洺,5602,ming,4
皿,3191,ming,5
冥,3545,ming,5
茗,3772,ming,5
酩,7357,ming,5
命,0158,ming,6
滅,1004,mit,6
蔑,2274,mit,6
篾,4337,mit,6
衊,7359,mit,6
喵,6082,miu,1
苗,0981,miu,4
描,1382,miu,4
瞄,3811,miu,4
秒,1644,miu,5
渺,3334,miu,5
藐,4069,miu,5
杳,4660,miu,5
緲,4790,miu,5
淼,5235,miu,5
邈,5678,miu,5
眇,6432,miu,5
杪,6703,miu,5
廟,1698,miu,6
妙,1806,miu,6
麼,0148,mo,1
摩,1362,mo,1
魔,2508,mo,1
么,3953,mo,1
嚤,7361,mo,1
摸,1566,mo,2
磨,1144,mo,4
蘑,3814,mo,4
饃,4199,mo,4
剝,1204,mok,1
莫,1312,mok,6
膜,1383,mok,6
幕,1440,mok,6
漠,2081,mok,6
寞,3042,mok,6
鏌,5687,mok,6
瘼,6793,mok,6
忙,1084,mong,4
亡,1302,mong,4
忘,1345,mong,4
茫,2181,mong,4
芒,2380,mong,4
虻,5995,mong,4
邙,6974,mong,4
網,1256,mong,5
妄,2106,mong,5
莽,2732,mong,5
惘,4087,mong,5
蟒,4221,mong,5
罔,4613,mong,5
漭,5238,mong,5
輞,6014,mong,5
魍,7360,mong,5
望,0523,mong,6
無,0171,mou,4
毛,0451,mou,4
模,0726,mou,4
誣,1973,mou,4
巫,2933,mou,4
蕪,3245,mou,4
摹,3264,mou,4
毋,3399,mou,4
謨,3775,mou,4
髦,4047,mou,4
嫵,4768,mou,4
芼,5357,mou,4
氂,5597,mou,4
廡,6102,mou,4
旄,6362,mou,4
嫫,6628,mou,4
武,0568,mou,5
母,0732,mou,5
舞,1257,mou,5
姆,1754,mou,5
拇,2723,mou,5
侮,2742,mou,5
憮,4446,mou,5
碔,4672,mou,5
鵡,6047,mou,5
潕,6148,mou,5
冇,6588,mou,5
務,0322,mou,6
冒,1649,mou,6
帽,1671,mou,6
霧,1752,mou,6
墓,2153,mou,6
慕,2395,mou,6
戊,2715,mou,6
暮,2865,mou,6
募,2894,mou,6
婺,4703,mou,6
騖,5854,mou,6
鶩,5860,mou,6
瑁,6775,mou,6
眊,6800,mou,6
煤,0848,mui,4
梅,1445,mui,4
霉,1815,mui,4
媒,2549,mui,4
枚,2624,mui,4
玫,2935,mui,4
莓,5359,mui,4
脢,6866,mui,4
每,0325,mui,5
妹,1484,mui,6
昧,3096,mui,6
目,0326,muk,6
木,0538,muk,6
牧,1328,muk,6
穆,1868,muk,6
睦,3118,muk,6
鉬,3394,muk,6
沐,4116,muk,6
苜,7365,muk,6
霂,7366,muk,6
顢,6554,mun,1
們,0025,mun,4
門,0262,mun,4
瞞,3090,mun,4
捫,4840,mun,4
蹣,5181,mun,4
鍆,6536,mun,4
滿,0484,mun,5
悶,1985,mun,6
懣,4240,mun,6
檬,3265,mung,1
懵,5311,mung,2
蒙,1281,mung,4
朦,3413,mung,4
濛,3966,mung,4
矇,4009,mung,4
曚,6367,mung,4
礞,6439,mung,4
幪,6652,mung,4
鸏,7062,mung,4
蠓,7364,mung,5
夢,1307,mung,6
抹,1961,mut,3
沫,2050,mut,3
秣,5470,mut,3
沒,0160,mut,6
末,0921,mut,6
茉,3663,mut,6
靺,5850,mut,6
歿,6136,mut,6
妺,6325,mut,6
Ｎ,7387,Ｎ
乸,7368,naa,2
拿,0790,naa,4
娜,3669,naa,4
嗱,7310,naa,4
那,0121,naa,5
哪,0739,naa,5
奶,1446,naai,5
乃,1616,naai,5
氖,3675,naai,5
鼐,5115,naai,5
迺,5831,naai,5
釢,7369,naai,5
南,0259,naam,4
男,1187,naam,4
喃,2995,naam,4
楠,3287,naam,4
囡,4295,naam,4
囝,5040,naam,4
蝻,5811,naam,4
腩,6867,naam,5
難,0399,naan,4
赧,5824,naan,5
納,1047,naap,6
鈉,1405,naap,6
吶,3122,naap,6
衲,7371,naap,6
魶,7372,naap,6
捺,4054,naat,6
撓,2460,naau,4
鐃,4807,naau,4
呶,4963,naau,4
猱,6767,naau,4
鬧,1551,naau,6
淖,4664,naau,6
泥,1072,nai,4
稔,5248,nam,5
撚,7370,nan,2
能,0044,nang,4
訥,3835,nat,6
肭,6863,nat,6
嬲,7373,nau,1
扭,1720,nau,2
紐,2293,nau,2
朽,2371,nau,2
鈕,3049,nau,2
妞,3782,nau,2
忸,4443,nau,2
狃,6416,nau,2
檽,3708,nau,6
耨,5977,nau,6
呢,0509,ne,1
尼,0901,nei,4
妮,3370,nei,4
鈮,5379,nei,4
怩,6105,nei,4
禰,6817,nei,4
你,0143,nei,5
您,1181,nei,5
旎,5057,nei,5
妳,7374,nei,5
餌,1993,nei,6
膩,2717,nei,6
女,0512,neoi,5
餒,4346,neoi,5
釹,6253,neoi,5
鷸,7059,neot,6
嗯,2779,ng,2
吳,1175,ng,4
吾,1913,ng,4
梧,3786,ng,4
蜈,4464,ng,4
鼯,4958,ng,4
浯,5446,ng,4
痦,5950,ng,4
五,0188,ng,5
午,1164,ng,5
伍,1417,ng,5
忤,5569,ng,5
牾,6158,ng,5
仵,6294,ng,5
誤,0804,ng,6
悟,1989,ng,6
晤,3021,ng,6
寤,6633,ng,6
焐,6750,ng,6
亞,0542,ngaa,3
牙,1401,ngaa,4
芽,1470,ngaa,4
衙,2652,ngaa,4
蚜,3083,ngaa,4
伢,4696,ngaa,4
枒,7376,ngaa,4
瓦,1057,ngaa,5
雅,1921,ngaa,5
佤,5196,ngaa,5
疋,5623,ngaa,5
訝,3195,ngaa,6
砑,4065,ngaa,6
迓,6517,ngaa,6
挨,2090,ngaai,4
崖,2441,ngaai,4
涯,3160,ngaai,4
睚,5467,ngaai,4
捱,7378,ngaai,4
艾,2480,ngaai,6
刈,4699,ngaai,6
乂,5119,ngaai,6
額,0972,ngaak,6
詻,7076,ngaak,6
啱,7077,ngaam,1
