ch,rank,yyutping
縩,6455,coi,3
才,0346,coi,4
材,0548,coi,4
財,0619,coi,4
裁,1011,coi,4
纔,4459,coi,4
倉,1493,cong,1
蒼,2016,cong,1
艙,2397,cong,1
滄,3425,cong,1
瘡,3710,cong,1
廠,0474,cong,2
闖,2278,cong,2
敞,2698,cong,2
昶,3982,cong,2
氅,5598,cong,2
厂,5709,cong,2
惝,6664,cong,2
創,0645,cong,3
愴,4552,cong,3
藏,0909,cong,4
床,1058,cong,4
幢,3275,cong,4
橦,5593,cong,4
牀,7112,cong,4
操,0908,cou,1
粗,1134,cou,1
草,0669,cou,2
措,0961,cou,3
燥,1593,cou,3
醋,2175,cou,3
噪,2551,cou,3
糙,2784,cou,3
躁,2949,cou,3
慥,4653,cou,3
厝,5547,cou,3
酢,6523,cou,3
譟,7113,cou,3
槽,1577,cou,4
曹,1827,cou,4
嘈,3616,cou,4
漕,3677,cou,4
艚,5355,cou,4
螬,6923,cou,4
速,0313,cuk,1
促,0893,cuk,1
束,0962,cuk,1
畜,1423,cuk,1
蓄,1763,cuk,1
簇,3073,cuk,1
矗,3912,cuk,1
滀,4302,cuk,1
蹙,4568,cuk,1
搐,4658,cuk,1
簌,4674,cuk,1
蹴,5374,cuk,1
俶,5396,cuk,1
觫,6224,cuk,1
涑,6391,cuk,1
諔,6504,cuk,1
齪,6581,cuk,1
亍,6582,cuk,1
踧,6965,cuk,1
充,0588,cung,1
沖,0952,cung,1
衝,1140,cung,1
蔥,2011,cung,1
聰,2432,cung,1
匆,2530,cung,1
忡,3760,cung,1
憧,4052,cung,1
璁,6166,cung,1
鏦,6265,cung,1
翀,7124,cung,1
蓯,7126,cung,1
寵,2840,cung,2
冢,4824,cung,2
塚,7123,cung,2
銃,5275,cung,3
從,0097,cung,4
重,0100,cung,4
蟲,1075,cung,4
松,1126,cung,4
叢,1981,cung,4
虫,3005,cung,4
淙,4090,cung,4
琮,6165,cung,4
藂,6482,cung,4
賨,6958,cung,4
躇,3837,cyu,1
滁,4666,cyu,1
躕,5100,cyu,1
褚,4314,cyu,2
楮,5231,cyu,2
處,0257,cyu,3
廚,2434,cyu,4
櫥,3552,cyu,4
柱,1190,cyu,5
貯,1402,cyu,5
儲,1548,cyu,5
署,1659,cyu,5
曙,3523,cyu,5
佇,3735,cyu,5
杵,4556,cyu,5
紵,5476,cyu,5
杼,5583,cyu,5
村,0738,cyun,1
穿,0866,cyun,1
川,0982,cyun,1
汆,3373,cyun,1
氚,3415,cyun,1
躥,5830,cyun,1
釧,6252,cyun,1
邨,7121,cyun,1
喘,2621,cyun,2
忖,4517,cyun,2
舛,6203,cyun,2
圌,6608,cyun,2
寸,1261,cyun,3
串,1691,cyun,3
竄,2927,cyun,3
惴,3902,cyun,3
吋,4700,cyun,3
攛,5139,cyun,3
爨,6156,cyun,3
全,0128,cyun,4
傳,0344,cyun,4
存,0448,cyun,4
泉,1670,cyun,4
醛,2092,cyun,4
蹲,2287,cyun,4
攢,3785,cyun,4
荃,3793,cyun,4
銓,4384,cyun,4
痊,4525,cyun,4
椽,4985,cyun,4
筌,4999,cyun,4
詮,5818,cyun,4
欑,6719,cyun,4
佺,7114,cyun,4
恮,7115,cyun,4
牷,7117,cyun,4
輇,7120,cyun,4
鱒,4578,cyun,5
撮,2999,cyut,3
咄,4137,cyut,3
猝,4599,cyut,3
捽,5577,cyut,3
Ｄ,7149,Ｄ
打,0310,daa,2
咑,6075,daa,2
歹,3202,daai,2
帶,0315,daai,3
戴,1468,daai,3
大,0012,daai,6
汏,4776,daai,6
軑,5515,daai,6
擔,0861,daam,1
耽,2892,daam,1
眈,3943,daam,1
儋,5544,daam,1
聃,5979,daam,1
膽,1602,daam,2
氮,1499,daam,6
髧,5284,daam,6
萏,5489,daam,6
澹,6741,daam,6
賧,6959,daam,6
單,0307,daan,1
丹,1463,daan,1
簞,2930,daan,1
襌,4378,daan,1
鄲,4572,daan,1
殫,4774,daan,1
蛋,0862,daan,2
旦,1737,daan,3
誕,2504,daan,3
鉭,6255,daan,3
但,0152,daan,6
彈,0772,daan,6
憚,4298,daan,6
撣,4713,daan,6
答,0867,daap,3
搭,1839,daap,3
瘩,3680,daap,3
褡,5814,daap,3
嚃,6605,daap,3
踏,1605,daap,6
沓,4592,daap,6
蹋,4739,daap,6
撻,4056,daat,3
靼,4691,daat,3
怛,5308,daat,3
笪,5966,daat,3
妲,6095,daat,3
躂,6968,daat,3
達,0328,daat,6
噠,2875,daat,6
低,0383,dai,1
氐,4988,dai,1
羝,5976,dai,1
胝,7131,dai,1
底,0498,dai,2
抵,1248,dai,2
詆,3685,dai,2
邸,4570,dai,2
砥,4785,dai,2
柢,5432,dai,2
牴,5612,dai,2
帝,0667,dai,3
締,2159,dai,3
蒂,2467,dai,3
碲,3605,dai,3
諦,4251,dai,3
嵽,6339,dai,3
螮,6925,dai,3
第,0155,dai,6
弟,1153,dai,6
隸,1371,dai,6
遞,1557,dai,6
逮,1858,dai,6
娣,3501,dai,6
踶,3595,dai,6
棣,4211,dai,6
埭,5300,dai,6
悌,5734,dai,6
杕,6127,dai,6
得,0062,dak,1
德,0502,dak,1
特,0206,dak,6
螣,4939,dak,6
揼,7145,dam,1
墩,3124,dan,1
礅,6813,dan,1
躉,5375,dan,2
撉,6359,dan,3
炖,3724,dan,6
燉,7147,dan,6
燈,0959,dang,1
登,1293,dang,1
蹬,2785,dang,1
簦,3970,dang,1
鐙,5689,dang,1
等,0068,dang,2
戥,2761,dang,2
凳,3017,dang,3
磴,4491,dang,3
嶝,4706,dang,3
嶗,6101,dang,3
鄧,1581,dang,6
瞪,2608,dang,6
嗒,3802,dap,1
耷,4733,dap,1
腯,6465,dat,1
突,0698,dat,6
凸,1871,dat,6
葖,6894,dat,6
兜,2850,dau,1
抖,2174,dau,2
陡,2499,dau,2
赳,3241,dau,2
蚪,6214,dau,2
枓,6702,dau,2
斗,7132,dau,2
鬥,0335,dau,3
豆,1132,dau,6
逗,2966,dau,6
竇,3834,dau,6
荳,4793,dau,6
痘,5069,dau,6
脰,5480,dau,6
餖,7021,dau,6
爹,1467,de,1
嗲,5712,de,1
哋,7134,dei,2
地,0020,dei,6
墬,5559,dei,6
笛,2339,dek,6
糴,5249,dek,6
釘,1840,deng,1
疔,6785,deng,1
掟,7135,deng,3
訂,1186,deng,6
堆,1102,deoi,1
對,0033,deoi,3
兌,2748,deoi,3
碓,5958,deoi,3
祋,7451,deoi,3
隊,0258,deoi,6
錞,5684,deoi,6
鐓,5688,deoi,6
憝,6352,deoi,6
懟,6354,deoi,6
噸,1111,deon,1
敦,2144,deon,1
諄,3406,deon,1
惇,5220,deon,1
頓,1162,deon,6
鈍,2695,deon,6
遁,3796,deon,6
囤,3842,deon,6
沌,4519,deon,6
盹,5159,deon,6
啲,7133,di,1
的,0001,dik,1
嘀,3615,dik,1
嫡,3759,dik,1
玓,4600,dik,1
菂,5256,dik,1
蹢,5675,dik,1
鏑,6540,dik,1
敵,0701,dik,6
滴,1539,dik,6
滌,2007,dik,6
迪,2373,dik,6
狄,3082,dik,6
翟,3851,dik,6
覿,5501,dik,6
荻,6207,dik,6
點,0096,dim,2
店,1258,dim,3
惦,3883,dim,3
玷,4923,dim,3
踮,5099,dim,3
阽,5847,dim,3
坫,6090,dim,3
掂,3504,dim,6
顛,2085,din,1
滇,2843,din,1
巔,3783,din,1
癲,4929,din,1
典,1116,din,2
碘,2361,din,2
墊,1955,din,3
電,0072,din,6
澱,1947,din,6
殿,2042,din,6
淀,2335,din,6
甸,2445,din,6
奠,2674,din,6
佃,2968,din,6
靛,4158,din,6
鈿,6530,din,6
癜,6796,din,6
丁,1099,ding,1
盯,2324,ding,1
叮,2889,ding,1
酊,4745,ding,1
仃,5031,ding,1
玎,6163,ding,1
耵,6198,ding,1
頂,0693,ding,2
鼎,2348,ding,2
錠,1883,ding,3
碇,5959,ding,3
定,0057,ding,6
啶,6081,ding,6
疊,2053,dip,6
